Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[4]     83.5    0.00    7.20      84         advance [4]
                0.11    7.09      84/84          advance_standard [5]
-----------------------------------------------
                0.11    7.09      84/84          advance [4]
[5]     83.5    0.11    7.09      84         advance_standard [5]
                0.39    3.86      84/84          fluxcalc [6]
                0.05    1.04  840000/840000      Utoprimgen [12]
                0.09    0.59  840000/840000      source [19]
                0.11    0.36  840000/840000      diag_source_comp [25]
                0.05    0.12  840000/840000      diag_source_all [40]
                0.03    0.13  840000/2251172     primtoU [28]
                0.08    0.00  840000/840000      flux2dUavg [52]
                0.06    0.00 2520000/14055893     get_geometry [31]
                0.04    0.02      84/84          diag_flux [53]
                0.03    0.01  840000/9314020     get_state [27]
                0.03    0.00  840000/840000      dUtoU [69]
                0.00    0.01      84/85          bound_prim [103]
                0.00    0.00     420/1511        trifprintf [101]
                0.00    0.00      84/84          compute_new_metric_substep [180]
-----------------------------------------------
                0.39    3.86      84/84          advance_standard [5]
[6]     49.2    0.39    3.86      84         fluxcalc [6]
                0.00    3.67      84/84          fluxcalc_flux [7]
                0.04    0.15      84/84          flux_ct [39]
                0.00    0.00      84/1511        trifprintf [101]
                0.00    0.00      84/84          flux_point2avg [118]
                0.00    0.00      84/84          preinterp_flux_point2avg [181]
-----------------------------------------------
                0.00    3.67      84/84          fluxcalc [6]
[7]     42.5    0.00    3.67      84         fluxcalc_flux [7]
                0.14    3.53     168/168         fluxcalc_standard [8]
                0.00    0.00     168/1511        trifprintf [101]
-----------------------------------------------
                0.14    3.53     168/168         fluxcalc_flux [7]
[8]     42.5    0.14    3.53     168         fluxcalc_standard [8]
                0.17    1.72 1730736/1730736     flux_compute_general [10]
                0.42    0.51    1344/1344        slope_lim_pointtype [14]
                0.01    0.45 2500512/2500512     get_global_wavespeeds [26]
                0.12    0.01 1730736/1730736     getplpr [42]
                0.10    0.00 4231248/14055893     get_geometry [31]
                0.02    0.00     168/168         global_vchar [74]
-----------------------------------------------
                0.15    0.20 2251172/12563884     primtoU [28]
                0.22    0.29 3360000/12563884     source_conn [21]
                0.46    0.61 6952712/12563884     primtoflux [11]
[9]     22.4    0.83    1.10 12563884         mhd_calc_norestmass [9]
                1.06    0.00 12563884/12563884     ffdestresstensor_dir [13]
                0.01    0.03 12563884/16343868     pressure_rho0_u [54]
-----------------------------------------------
                0.17    1.72 1730736/1730736     fluxcalc_standard [8]
[10]    21.9    0.17    1.72 1730736         flux_compute_general [10]
                0.21    1.06 6922944/6952712     primtoflux [11]
                0.23    0.00 1730736/1730736     flux_compute [36]
                0.11    0.06 3461472/9314020     get_state [27]
                0.03    0.02 1730736/1730736     get_wavespeeds [57]
-----------------------------------------------
                0.00    0.00   29768/6952712     fieldline_content [86]
                0.21    1.06 6922944/6952712     flux_compute_general [10]
[11]    14.8    0.21    1.07 6952712         primtoflux [11]
                0.46    0.61 6952712/12563884     mhd_calc_norestmass [9]
-----------------------------------------------
                0.05    1.04  840000/840000      advance_standard [5]
[12]    12.6    0.05    1.04  840000         Utoprimgen [12]
                0.00    0.81  840000/840000      Utoprimgen_pick [17]
                0.03    0.13  840000/2251172     primtoU [28]
                0.03    0.01  840000/9314020     get_state [27]
                0.03    0.00  840000/14421792     UtoU [24]
                0.00    0.00  840000/840000      signavoidzero [142]
-----------------------------------------------
                1.06    0.00 12563884/12563884     mhd_calc_norestmass [9]
[13]    12.3    1.06    0.00 12563884         ffdestresstensor_dir [13]
-----------------------------------------------
                0.42    0.51    1344/1344        fluxcalc_standard [8]
[14]    10.8    0.42    0.51    1344         slope_lim_pointtype [14]
                0.51    0.00 16724736/16724736     slope_lim_3points [23]
                0.00    0.00    1344/1766352     choose_limiter [138]
-----------------------------------------------
                0.00    0.88      22/22          main [1]
[15]    10.2    0.00    0.88      22         diag [15]
                0.02    0.79       2/2           image_dump [18]
                0.00    0.03       2/2           dump_ener [65]
                0.00    0.01       4/4           restart_write [91]
                0.00    0.01       2/2           fieldlinedump [106]
                0.00    0.01       2/2           debugdump [104]
                0.00    0.01       2/4           dump [90]
                0.00    0.01       2/2           fluxdumpdump [107]
                0.00    0.01       2/2           eosdump [105]
                0.00    0.00       1/1           gdump [112]
                0.00    0.00      20/1511        trifprintf [101]
                0.00    0.00       8/21          myfopen [185]
                0.00    0.00       8/4895        myfprintf [169]
                0.00    0.00       8/22          myfclose [183]
-----------------------------------------------
                0.01    0.80  840000/840000      Utoprimgen_pick [17]
[16]     9.4    0.01    0.80  840000         Utoprim_jon_nonrelcompat_inputnorestmass [16]
                0.07    0.52  840000/840000      find_root_1D_gen_Eprime [20]
                0.11    0.01  840000/840000      Wp2prim [44]
                0.02    0.03  840000/840000      set_guess_Wp [61]
                0.03    0.00  840000/840000      compute_setup_quantities [68]
                0.01    0.00  840000/840000      check_Wp [95]
                0.00    0.00 1680000/1680001     pickeos_eomtype [139]
                0.00    0.00  840000/840000      check_on_inversion [140]
-----------------------------------------------
                0.00    0.81  840000/840000      Utoprimgen [12]
[17]     9.4    0.00    0.81  840000         Utoprimgen_pick [17]
                0.01    0.80  840000/840000      Utoprim_jon_nonrelcompat_inputnorestmass [16]
-----------------------------------------------
                0.02    0.79       2/2           diag [15]
[18]     9.3    0.02    0.79       2         image_dump [18]
                0.08    0.30      32/32          compute_vorticity [29]
                0.01    0.26      96/113         dump_gen [32]
                0.02    0.07  476288/2251172     primtoU [28]
                0.01    0.01  476288/9314020     get_state [27]
                0.01    0.00  476288/14055893     get_geometry [31]
                0.01    0.00      96/96          prminmaxsum [96]
                0.00    0.00     192/1511        trifprintf [101]
                0.00    0.00      96/96          logsfprintf [174]
-----------------------------------------------
                0.09    0.59  840000/840000      advance_standard [5]
[19]     7.8    0.09    0.59  840000         source [19]
                0.03    0.52  840000/840000      source_conn [21]
                0.03    0.01  840000/9314020     get_state [27]
                0.00    0.00  840000/840000      sourcephysics [143]
-----------------------------------------------
                0.07    0.52  840000/840000      Utoprim_jon_nonrelcompat_inputnorestmass [16]
[20]     6.8    0.07    0.52  840000         find_root_1D_gen_Eprime [20]
                0.42    0.10 2520000/2520000     func_Eprime [22]
                0.00    0.00 2520000/2520000     validate_x_1d [137]
                0.00    0.00  840000/840000      pick_validate_x [141]
-----------------------------------------------
                0.03    0.52  840000/840000      source [19]
[21]     6.3    0.03    0.52  840000         source_conn [21]
                0.22    0.29 3360000/12563884     mhd_calc_norestmass [9]
-----------------------------------------------
                0.42    0.10 2520000/2520000     find_root_1D_gen_Eprime [20]
[22]     6.0    0.42    0.10 2520000         func_Eprime [22]
                0.00    0.05 5040000/5040000     compute_idwmrho0dp [58]
                0.00    0.04 2520000/3360000     pressure_wmrho0 [55]
                0.01    0.00 5040000/5040000     compute_idrho0dp [94]
-----------------------------------------------
                0.51    0.00 16724736/16724736     slope_lim_pointtype [14]
[23]     5.9    0.51    0.00 16724736         slope_lim_3points [23]
-----------------------------------------------
                0.01    0.00  141792/14421792     diag_flux [53]
                0.03    0.00  840000/14421792     Utoprimgen [12]
                0.12    0.00 3360000/14421792     diag_source_all [40]
                0.36    0.00 10080000/14421792     diag_source_comp [25]
[24]     5.9    0.51    0.00 14421792         UtoU [24]
-----------------------------------------------
                0.11    0.36  840000/840000      advance_standard [5]
[25]     5.4    0.11    0.36  840000         diag_source_comp [25]
                0.36    0.00 10080000/14421792     UtoU [24]
-----------------------------------------------
                0.01    0.45 2500512/2500512     fluxcalc_standard [8]
[26]     5.3    0.01    0.45 2500512         get_global_wavespeeds [26]
                0.06    0.26 2500512/2738656     vchar [30]
                0.08    0.04 2500512/9314020     get_state [27]
-----------------------------------------------
                0.00    0.00   14884/9314020     pi2Uavg [111]
                0.00    0.00   29768/9314020     set_dt [85]
                0.00    0.00   29768/9314020     fieldline_content [86]
                0.00    0.00   59536/9314020     dump_content [50]
                0.00    0.00   80000/9314020     constotal [67]
                0.00    0.00  141792/9314020     diag_flux [53]
                0.01    0.01  476288/9314020     image_dump [18]
                0.03    0.01  840000/9314020     advance_standard [5]
                0.03    0.01  840000/9314020     source [19]
                0.03    0.01  840000/9314020     Utoprimgen [12]
                0.08    0.04 2500512/9314020     get_global_wavespeeds [26]
                0.11    0.06 3461472/9314020     flux_compute_general [10]
[27]     5.3    0.29    0.17 9314020         get_state [27]
                0.17    0.00 9314020/11801260     ucon_calc_rel4vel [37]
-----------------------------------------------
                0.00    0.00   14884/2251172     pi2Uavg [111]
                0.00    0.01   80000/2251172     constotal [67]
                0.02    0.07  476288/2251172     image_dump [18]
                0.03    0.13  840000/2251172     advance_standard [5]
                0.03    0.13  840000/2251172     Utoprimgen [12]
[28]     5.1    0.09    0.35 2251172         primtoU [28]
                0.15    0.20 2251172/12563884     mhd_calc_norestmass [9]
-----------------------------------------------
                0.08    0.30      32/32          image_dump [18]
[29]     4.4    0.08    0.30      32         compute_vorticity [29]
                0.00    0.26  460800/475692      dxdxprim [34]
                0.02    0.00 2304000/10019286     bl_coord [48]
                0.02    0.00 2304000/2408237     coord [72]
-----------------------------------------------
                0.00    0.01   59536/2738656     set_dt [85]
                0.00    0.02  178608/2738656     dump_content [50]
                0.06    0.26 2500512/2738656     get_global_wavespeeds [26]
[30]     4.1    0.07    0.29 2738656         vchar [30]
                0.15    0.09 2738656/2738656     simplefast [35]
                0.00    0.04 2738656/2798192     cs2_compute [63]
                0.00    0.01 2738656/16343868     pressure_rho0_u [54]
-----------------------------------------------
                0.00    0.00       1/14055893     set_grid [127]
                0.00    0.00   10000/14055893     gset [121]
                0.00    0.00   14884/14055893     pi2Uavg [111]
                0.00    0.00   24884/14055893     bl2met2metp2v [115]
